timestamp,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz,gripper
1770929411.6723564,0.61,-0.52,-0.52,-2.63,0.43,3.16,53.7,-62.4,417.7,-93.69,3.18,-89.15,3
1770929411.8052526,0.61,-1.4,-0.52,-1.93,0.43,3.42,58.0,-62.4,417.5,-93.78,3.44,-89.17,3
1770929411.9372725,0.61,-2.72,-0.52,0.26,0.43,3.6,61.8,-62.3,417.9,-93.08,3.7,-89.14,3
1770929412.069235,0.61,-3.25,-0.52,0.52,0.43,3.69,63.1,-62.3,417.7,-93.34,3.79,-89.16,3
1770929412.2012382,0.61,-3.25,-0.52,-0.35,0.43,3.86,64.2,-62.3,416.9,-94.22,3.88,-89.23,3
1770929412.3332858,0.61,-3.25,-0.52,-1.05,0.43,4.04,65.1,-62.3,416.3,-94.93,4.15,-89.3,3
1770929412.4652343,0.61,-4.3,-0.52,-0.79,0.43,4.3,71.1,-62.2,415.2,-95.72,4.41,-89.38,3
1770929412.597274,0.61,-5.88,-0.52,1.58,0.17,4.57,75.4,-62.4,415.4,-94.84,4.56,-89.59,3
1770929412.729259,0.61,-7.11,-0.52,2.72,-0.08,4.74,80.1,-62.6,414.7,-95.11,4.71,-89.89,3
1770929412.8622727,0.61,-8.26,-0.52,2.98,-0.52,4.83,85.0,-62.9,413.3,-95.99,4.83,-90.51,3
1770929412.994266,0.61,-9.4,-0.52,3.16,-0.79,5.09,90.1,-63.1,411.8,-96.88,5.04,-90.87,3
1770929413.1262808,0.61,-10.45,-0.52,3.33,-0.87,5.53,95.0,-63.0,410.2,-97.85,5.45,-91.02,3
1770929413.2583253,0.61,-11.6,-0.52,3.33,-0.87,5.97,100.3,-63.0,408.4,-98.92,5.76,-91.17,3
1770929413.3902678,0.61,-12.91,-0.52,3.69,-0.87,6.41,106.1,-62.9,406.3,-99.98,6.16,-91.36,3
1770929413.5223308,0.61,-14.32,-0.52,4.13,-0.87,6.85,112.0,-62.8,404.1,-100.88,6.65,-91.55,3
1770929413.6542654,0.43,-15.99,-0.52,4.74,-0.87,7.38,119.2,-63.1,401.3,-102.04,7.12,-91.97,3
1770929413.7862725,0.35,-17.57,-0.52,5.36,-0.87,8.08,125.6,-63.3,398.5,-103.04,7.85,-92.36,3
1770929413.9182744,0.35,-19.07,-0.52,5.62,-0.87,8.96,132.1,-63.2,395.5,-104.31,8.56,-92.72,3
1770929414.0502608,0.26,-20.83,-0.52,6.24,-0.87,9.49,139.1,-63.4,392.0,-105.48,9.0,-93.13,3
1770929414.1825726,0.26,-22.67,-0.52,7.11,-0.87,10.1,146.3,-63.4,388.4,-106.49,9.53,-93.46,3
1770929414.3162673,0.35,-24.25,-0.52,7.55,-0.87,10.98,152.8,-63.1,384.7,-107.78,10.37,-93.87,3
1770929414.449249,0.35,-25.83,-0.52,7.64,-0.87,12.3,159.5,-63.1,380.5,-109.38,11.42,-94.56,3
1770929414.5822983,0.26,-27.5,-0.52,7.82,-0.87,13.62,165.8,-63.3,376.2,-110.91,12.61,-95.44,3
1770929414.7152689,0.17,-29.17,-0.52,8.26,-0.87,14.94,172.4,-63.5,371.7,-112.28,13.7,-96.31,3
1770929414.8472693,0.17,-30.93,-0.52,9.05,-0.87,16.08,178.7,-63.5,367.2,-113.38,14.64,-97.01,3
